museumCapacity,hotelCapacity,ticketPrice,hotelPrice,monthlyExpenditures,investMinProb,numVisitors,maxDays,totalVisits,totalHotelStays,totalRefusals,totalRepairs,finalWear,finalAttractiveness,finalBudget,finalMobileNetwork,finalPaymentSystem,finalTransportAccess,finalInternetQuality,finalNavigationAccess,finalServiceAvailability,finalAvgReview
10,5,20,30,5000,0.1000,65,365,894,272,22831,0,53.71,12.29,-28960.00,36.60,36.60,39.05,39.05,39.05,39.05,14.48
10,5,20,30,5000,0.1000,65,365,1019,297,22706,0,36.71,21.92,-25710.00,34.73,34.73,39.05,39.05,39.05,39.05,25.46
10,5,20,30,5000,0.1000,65,730,1120,314,46330,0,75.99,0.50,-83180.00,33.20,33.20,28.10,28.10,28.10,28.10,0.00
10,5,20,30,5000,0.1000,65,730,1234,383,46216,0,73.54,0.34,-78830.00,31.49,31.49,28.10,28.10,28.10,28.10,0.00
10,5,20,30,5000,0.8000,65,365,1008,277,22717,0,42.79,17.30,-26530.00,34.88,34.88,39.05,39.05,39.05,39.05,22.75
10,5,20,30,5000,0.8000,65,365,933,246,22792,0,48.47,16.44,-28960.00,36.02,36.02,39.05,39.05,39.05,39.05,22.68
10,5,20,30,5000,0.8000,65,730,1124,322,46326,0,91.53,0.18,-82860.00,33.14,33.14,28.10,28.10,28.10,28.10,0.00
10,5,20,30,5000,0.8000,65,730,1197,344,46253,0,71.72,1.63,-80740.00,32.04,32.04,28.10,28.10,28.10,28.10,3.03
10,5,20,50,5000,0.1000,65,365,1013,303,22712,0,41.54,16.17,-19590.00,34.82,34.82,39.05,39.05,39.05,39.05,7.68
10,5,20,50,5000,0.1000,65,365,1001,290,22724,0,44.49,17.59,-20480.00,34.98,34.98,39.05,39.05,39.05,39.05,16.63
10,5,20,50,5000,0.1000,65,730,1015,317,46435,0,100.00,0.02,-78850.00,34.77,34.77,28.10,28.10,28.10,28.10,0.00
10,5,20,50,5000,0.1000,65,730,1243,365,46207,0,79.13,1.25,-71890.00,31.35,31.35,28.10,28.10,28.10,28.10,0.00
