Iteration,monthlyCosts,combinedPrice,N,defaultCapacity,budget,wear,infra,attract
12,5000.0,50.0,75.0,10.0,26987.660252355287,30.171468186232367,69.99991204974562,55.51737071996729
4,5000.0,30.0,65.0,10.0,-26972.822462286742,60.30284058010159,39.49327656998591,9.755570626919196
3,5000.0,30.0,60.0,10.0,-28724.494513583013,59.13505921257519,39.687906797908845,10.53314658938645
2,5000.0,30.0,55.0,10.0,-30539.656343851315,57.924951325724614,39.88959144571517,11.338757915405392
8,5000.0,50.0,55.0,10.0,-13677.2050178249,57.924951325724614,39.88959144571517,11.338757915405392
11,5000.0,50.0,70.0,10.0,-4913.7614269918295,61.43032876206009,39.305361872992876,9.004688788245723
5,5000.0,30.0,70.0,10.0,-25281.590189351326,61.43032876206009,39.305361872992876,9.004688788245723
10,5000.0,50.0,65.0,10.0,-7732.481881884715,60.30284058010159,39.49327656998591,9.755570626919196
7,5000.0,50.0,50.0,10.0,-16813.734023483892,56.67033972346302,40.098693379425946,12.173840323609234
6,5000.0,30.0,75.0,10.0,-23647.9455203065,62.519425208090034,39.12384579865324,8.279246477793597
9,5000.0,50.0,60.0,10.0,-10651.935300710631,59.13505921257519,39.687906797908845,10.53314658938645
1,5000.0,30.0,50.0,10.0,-32421.573747247177,56.67033972346302,40.098693379425946,12.173840323609234
13,5000.0,70.0,50.0,10.0,30263.022413654293,20.381445867422475,69.99993809014475,57.50332144105607
21,5000.0,90.0,60.0,10.0,155137.46735966357,40.934735930867326,69.99997919879347,50.053540737086706
16,5000.0,70.0,65.0,10.0,98391.82845714483,39.19350091450383,69.9999851150242,50.947594554943265
19,5000.0,90.0,50.0,10.0,128434.08881790201,34.989745908726334,69.99997538346494,52.99468951695141
14,5000.0,70.0,55.0,10.0,59732.59564535138,28.12173691418419,69.99997447646311,56.45788725094675
22,5000.0,90.0,65.0,10.0,164539.11746227278,43.027969567883154,69.99982791805981,49.02289656665633
17,5000.0,70.0,70.0,10.0,108031.31162388495,41.95430325788442,69.99987127191503,49.58179715760276
18,5000.0,70.0,75.0,10.0,114183.64020634415,43.7161004245203,69.99964570320847,48.71674384782448
23,5000.0,90.0,70.0,10.0,172198.2493698809,44.73306039697757,69.99969396574544,48.18648581631682
15,5000.0,70.0,60.0,10.0,81089.54117812625,34.23808165046829,69.99998184004399,53.413705971475224
24,5000.0,90.0,75.0,10.0,177123.43483884068,45.829568468020824,69.99960704848887,47.65524651949263
20,5000.0,90.0,55.0,10.0,144149.7900205494,38.48910164582157,69.99997782928281,51.26026451757914
27,5000.0,110.0,60.0,10.0,215023.92746590814,42.613735263417354,69.99989771827332,49.21102692684507
28,5000.0,110.0,65.0,10.0,224518.38189618415,44.342647466995885,69.99979747179752,48.3629842354359
26,5000.0,110.0,55.0,10.0,204685.63184299826,40.73120345468954,70.0001502859694,50.13560654010023
25,5000.0,110.0,50.0,10.0,192869.09756281663,38.5794932535624,69.9999827931098,51.19452645640225
29,5000.0,110.0,70.0,10.0,232791.99213825364,45.84930212358884,69.99971157945677,47.626045148276695
34,5000.0,30.0,65.0,15.0,-26972.822462286742,60.30284058010159,39.49327656998591,9.755570626919196
31,5000.0,30.0,50.0,15.0,-32421.573747247177,56.67033972346302,40.098693379425946,12.173840323609234
33,5000.0,30.0,60.0,15.0,-28724.494513583013,59.13505921257519,39.687906797908845,10.53314658938645
30,5000.0,110.0,75.0,10.0,239728.29336810496,47.11228894336644,69.99963925036273,47.01105327033548
32,5000.0,30.0,55.0,15.0,-30539.656343851315,57.924951325724614,39.88959144571517,11.338757915405392
36,5000.0,30.0,75.0,15.0,-23647.9455203065,62.519425208090034,39.12384579865324,8.279246477793597
35,5000.0,30.0,70.0,15.0,-25281.590189351326,61.43032876206009,39.305361872992876,9.004688788245723
38,5000.0,50.0,55.0,15.0,-13677.2050178249,57.924951325724614,39.88959144571517,11.338757915405392
37,5000.0,50.0,50.0,15.0,-16813.734023483892,56.67033972346302,40.098693379425946,12.173840323609234
39,5000.0,50.0,60.0,15.0,-10651.935300710631,59.13505921257519,39.687906797908845,10.53314658938645
42,5000.0,50.0,75.0,15.0,39602.687236145146,32.20521913958365,69.99995056160563,54.49733216058717
40,5000.0,50.0,65.0,15.0,-7732.481881884715,60.30284058010159,39.49327656998591,9.755570626919196
41,5000.0,50.0,70.0,15.0,-4913.7614269918295,61.43032876206009,39.305361872992876,9.004688788245723
44,5000.0,70.0,55.0,15.0,85496.56198778874,33.25079211783201,69.99998350525784,53.88787321971822
43,5000.0,70.0,50.0,15.0,33386.21451500683,20.73518237171918,69.99994648122485,58.10713104394212
